title,description
"Barry's Bootcamp","Go to barrys.com and sign up for a class at the nearest location",
"Margaret Pace Park","Go to the nearest basketball court and play 3 games of pickup basketball",
"Upper Body","Go to any gym that has at least 8 upper body machines and do 16 reps on each machine taking a 2-minute break between each machine",
"Lower Body","Go to any gym that has at least 8 lower body machines and do 16 reps on each machine taking a 2-minute break between each machine",
"Push-Ups","A basic upper body exercise targeting the chest, shoulders, and triceps. Routine: Get into a plank position with your hands placed slightly wider than shoulder-width apart. Lower your body until your chest nearly touches the floor, then push yourself back up."
"Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Stand with your feet shoulder-width apart, lower your body as if sitting back into a chair, keeping your back straight and knees behind your toes, then return to the starting position."
"Planks","An isometric core exercise that strengthens the abs and back. Routine: Get into a forearm plank position with your elbows directly under your shoulders and your body in a straight line from head to heels. Hold this position for as long as you can."
"Lunges","A lower body exercise focusing on the quads, hamstrings, and glutes. Routine: Step forward with one leg and lower your hips until both knees are bent at a 90-degree angle. Push back up to the starting position and switch legs."
"Burpees","A full-body exercise that combines a squat, push-up, and jump. Routine: Start in a standing position, drop into a squat with your hands on the ground, kick your feet back into a push-up position, perform a push-up, return to the squat position, and jump up explosively."
"Mountain Climbers","A cardiovascular exercise that also strengthens the core and legs. Routine: Start in a plank position and quickly alternate bringing your knees to your chest, as if running in place."
"Dumbbell Rows","An upper body exercise targeting the back and biceps. Routine: Bend over with a dumbbell in each hand, keeping your back straight. Pull the dumbbells to your ribcage, then lower them back down."
"Deadlifts","A compound lift that targets the posterior chain including hamstrings, glutes, and back. Routine: Stand with your feet hip-width apart, grip a barbell with your hands just outside your knees, and lift the bar by extending your hips and knees while keeping your back straight."
"Bicep Curls","An isolation exercise that targets the biceps. Routine: Stand with a dumbbell in each hand, arms fully extended. Curl the weights up towards your shoulders, keeping your elbows close to your body, then lower them back down."
"Tricep Dips","An upper body exercise focusing on the triceps. Routine: Position your hands shoulder-width apart on a stable surface behind you, extend your legs out in front, lower your body by bending your elbows, then push yourself back up."
"Bicycle Crunches","A core exercise that targets the abs and obliques. Routine: Lie on your back with your hands behind your head, bring your knees to your chest, and alternate touching your elbows to the opposite knee in a pedaling motion."
"Jump Rope","A cardiovascular exercise that also improves coordination. Routine: Hold the handles of a jump rope, swing the rope over your head, and jump as it passes under your feet, keeping a steady rhythm."
"Bench Press","A compound upper body exercise that targets the chest, shoulders, and triceps. Routine: Lie on a bench with a barbell in your hands, lower the bar to your chest, and push it back up to the starting position."
"Shoulder Press","An upper body exercise that targets the shoulders and triceps. Routine: Hold a dumbbell in each hand at shoulder height, press the weights overhead until your arms are fully extended, then lower them back down."
"Leg Press","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Sit on a leg press machine with your feet shoulder-width apart, push the platform away by extending your legs, then slowly return to the starting position."
"Pull-Ups","An upper body exercise that targets the back, shoulders, and biceps. Routine: Hang from a pull-up bar with your palms facing away, pull your body up until your chin is above the bar, then lower yourself back down."
